Episode,Reward,Phi_t,Best_Phi_t,Final_Reward,Final_Events
1,-718.231652171537,0.1,NaN,NaN,NaN
2,-943.564296160371,0.118163265306122,NaN,NaN,NaN
3,-185.375416291714,0.136326530612245,NaN,NaN,NaN
4,-12707.6223344844,0.154489795918367,NaN,NaN,NaN
5,-291.461507973624,0.17265306122449,NaN,NaN,NaN
6,-448.632848732359,0.190816326530612,NaN,NaN,NaN
7,-686.615536874017,0.208979591836735,NaN,NaN,NaN
8,-662.317980500629,0.227142857142857,NaN,NaN,NaN
9,-464.27845865832,0.24530612244898,NaN,NaN,NaN
10,-448.18203333425,0.263469387755102,NaN,NaN,NaN
11,-556.440831215302,0.281632653061225,NaN,NaN,NaN
12,-315.162365972827,0.299795918367347,NaN,NaN,NaN
13,-106.308727233571,0.317959183673469,NaN,NaN,NaN
14,-24.020602924017,0.336122448979592,NaN,NaN,NaN
15,-364.561517971223,0.354285714285714,NaN,NaN,NaN
16,-368.84612265408,0.372448979591837,NaN,NaN,NaN
17,-399.78084243612,0.390612244897959,NaN,NaN,NaN
18,-377.784397141563,0.408775510204082,NaN,NaN,NaN
19,-739.745087589095,0.426938775510204,NaN,NaN,NaN
20,-406.620820213966,0.445102040816327,NaN,NaN,NaN
21,-467.297177878898,0.463265306122449,NaN,NaN,NaN
22,-2103.84332546554,0.481428571428571,NaN,NaN,NaN
23,-570.864904332747,0.499591836734694,NaN,NaN,NaN
24,-657.8739203642,0.84469387755102,NaN,NaN,NaN
25,-632.861923996862,0.517755102040816,NaN,NaN,NaN
26,-440.163115482341,0.535918367346939,NaN,NaN,NaN
27,-66.993882780735,0.554081632653061,NaN,NaN,NaN
28,-864.377502934237,0.572244897959184,NaN,NaN,NaN
29,-1470.15212554189,0.590408163265306,NaN,NaN,NaN
30,-145.403197811246,0.608571428571429,NaN,NaN,NaN
31,-500.332366140343,0.626734693877551,NaN,NaN,NaN
32,-565.255126251411,0.644897959183673,NaN,NaN,NaN
33,-619.13463177092,0.663061224489796,NaN,NaN,NaN
34,-208.373280967367,0.681224489795918,NaN,NaN,NaN
35,-141.466236887821,0.699387755102041,NaN,NaN,NaN
36,-2415.00479647247,0.717551020408163,NaN,NaN,NaN
37,-614.353284727943,0.735714285714286,NaN,NaN,NaN
38,-198.311776324137,0.753877551020408,NaN,NaN,NaN
39,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
40,-617.956406051648,0.790204081632653,NaN,NaN,NaN
41,-25.9752615485554,0.808367346938776,NaN,NaN,NaN
42,-494.878313922199,0.826530612244898,NaN,NaN,NaN
43,-719.36761567796,0.862857142857143,NaN,NaN,NaN
44,-735.248977407027,0.881020408163265,NaN,NaN,NaN
45,-25.7314082841726,0.899183673469388,NaN,NaN,NaN
46,-685.943467875472,0.91734693877551,NaN,NaN,NaN
47,-691.974724541719,0.935510204081633,NaN,NaN,NaN
48,-406.140871562206,0.953673469387755,NaN,NaN,NaN
49,-594.895683461192,0.971836734693878,NaN,NaN,NaN
50,-487.554775649283,0.99,NaN,NaN,NaN
51,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
52,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
53,-24.020602924017,0.336122448979592,NaN,NaN,NaN
54,-25.7314082841726,0.899183673469388,NaN,NaN,NaN
55,-25.9752615485554,0.808367346938776,NaN,NaN,NaN
56,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
57,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
58,-24.020602924017,0.336122448979592,NaN,NaN,NaN
59,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
60,-25.7314082841726,0.899183673469388,NaN,NaN,NaN
61,-25.9752615485554,0.808367346938776,NaN,NaN,NaN
62,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
63,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
64,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
65,-24.020602924017,0.336122448979592,NaN,NaN,NaN
66,-66.993882780735,0.554081632653061,NaN,NaN,NaN
67,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
68,-25.7314082841726,0.899183673469388,NaN,NaN,NaN
69,-25.9752615485554,0.808367346938776,NaN,NaN,NaN
70,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
71,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
72,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
73,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
74,-24.020602924017,0.336122448979592,NaN,NaN,NaN
75,-66.993882780735,0.554081632653061,NaN,NaN,NaN
76,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
77,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
78,-25.7314082841726,0.899183673469388,NaN,NaN,NaN
79,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
80,-25.9752615485554,0.808367346938776,NaN,NaN,NaN
81,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
82,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
83,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
84,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
85,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
86,-12707.6223344844,0.154489795918367,NaN,NaN,NaN
87,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
88,-11.3658887706472,0.772040816326531,NaN,NaN,NaN
89,-24.020602924017,0.336122448979592,NaN,NaN,NaN
